[FRO43226, FRO66272]=0.12297734627831715
[DAI75645, GRO32086]=0.12266355140186916
[ELE55848, GRO32086]=0.12266355140186916
[GRO38814, FRO16142]=0.12244897959183673
[SNA80324, SNA55762]=0.1221142162818955
[FRO31317, DAI42493]=0.12187812187812187
[FRO85978, SNA55952]=0.12157221206581353
[FRO80039, ELE12792]=0.12139423076923077
[DAI75645, ELE26917]=0.1212914485165794
[ELE12845, FRO35904]=0.12116991643454039
[GRO30386, ELE17451]=0.1207741935483871
[DAI75645, DAI95741]=0.12072892938496584
[GRO56726, FRO31317]=0.12060085836909872
[DAI75645, SNA72163]=0.12018348623853212
[GRO59710, GRO81087]=0.11967213114754098
[DAI92600, FRO80039]=0.11871657754010695
[GRO38814, GRO73461]=0.11854525263742366
[GRO56726, DAI95741]=0.11845102505694761
[SNA45677, GRO71621]=0.11822916666666666
[GRO30386, GRO69543]=0.11791383219954649
[DAI88807, DAI42493]=0.11788211788211789
[DAI87448, GRO21487]=0.11771561771561771
[ELE91337, DAI87448]=0.11771561771561771
[GRO56726, GRO24246]=0.11758474576271187
[SNA45677, ELE99737]=0.11741424802110818
[GRO21487, SNA93860]=0.11727078891257996
[DAI85309, DAI42493]=0.11688311688311688
[SNA45677, GRO94758]=0.1164969450101833
[SNA80324, ELE26917]=0.11649214659685864
[ELE17451, DAI95741]=0.11617312072892938
[GRO38814, GRO21487]=0.11612426035502958
[GRO46854, SNA93860]=0.11584932480454868
[GRO69543, SNA80324]=0.11564625850340136
[FRO92469, SNA80324]=0.11563731931668857
[SNA45677, DAI85309]=0.11527494908350305
[DAI88079, FRO40251]=0.11491883535171347
[ELE92920, GRO81087]=0.11475409836065574
[ELE59028, SNA93860]=0.11442786069651742
[GRO71621, FRO92261]=0.11366120218579236
[GRO46854, ELE59935]=0.11365369946605644
[DAI31081, FRO53271]=0.11338028169014085
[GRO59710, SNA59903]=0.11335578002244669
[FRO35904, GRO73461]=0.11281337047353761
[SNA80324, FRO92261]=0.11256830601092896
[SNA45677, SNA55762]=0.1117861482381531
[ELE91337, FRO85978]=0.11157455683003129
[FRO85978, FRO35904]=0.11142061281337047
[DAI55148, SNA80324]=0.11136662286465178
[ELE59935, DAI85309]=0.11136536994660565
[SNA96271, GRO46854]=0.11119691119691119
[ELE66600, SNA96271]=0.11119691119691119
[SNA80324, FRO78087]=0.11103853690398433
[GRO38814, GRO59710]=0.11094674556213018
[FRO92469, DAI55148]=0.11076923076923077
[FRO53271, FRO31317]=0.11030042918454935
[FRO31317, GRO73461]=0.10966129927817879
[SNA96271, SNA45677]=0.10957230142566192
[ELE32164, SNA93860]=0.10945273631840796
[DAI31081, ELE32164]=0.1094352858646089
[DAI55148, DAI75645]=0.10928362573099415
[GRO30386, ELE59935]=0.10831426392067124
[GRO46854, DAI63921]=0.10829103214890017
[GRO46854, GRO73461]=0.10799555802332038
[GRO30386, ELE74482]=0.10790273556231003
[GRO21487, DAI42493]=0.10789210789210789
[DAI83733, GRO46854]=0.10763097949886105
[GRO38814, SNA72163]=0.10733944954128441
[FRO19221, SNA93860]=0.10732054015636106
[SNA45677, GRO44993]=0.10729253981559095
[SNA80324, SNA93860]=0.10660980810234541
[FRO80039, DAI35347]=0.10660377358490566
[ELE59935, DAI63921]=0.1065989847715736
[FRO40251, FRO35904]=0.10654596100278552
[SNA80324, SNA72163]=0.10642201834862386
[DAI62779, GRO30386]=0.1063446827658617
[DAI85309, DAI22177]=0.1057160417947142
[GRO30386, GRO73461]=0.10549694614103276
[GRO59710, ELE17451]=0.10529032258064516
[ELE74009, DAI75645]=0.10453216374269006
[ELE74009, GRO38814]=0.10428994082840237
[ELE74482, DAI75645]=0.10410334346504559
[DAI85309, GRO94758]=0.10379415612734409
[SNA45677, GRO81087]=0.10327868852459017
[SNA45677, SNA99873]=0.10321651464234277
[ELE17451, FRO35904]=0.10306406685236769
[FRO53271, DAI42493]=0.1028971028971029
[GRO38814, GRO71621]=0.10281065088757396
[FRO85978, FRO78087]=0.10254735467015023
[GRO71621, SNA93860]=0.1023454157782516
[SNA45677, ELE26917]=0.10209424083769633
[DAI85309, FRO78087]=0.10189418680600915
[DAI31081, DAI88807]=0.10182370820668693
[DAI85309, SNA93860]=0.10163468372423597
[DAI85309, DAI63921]=0.10152284263959391
[DAI43223, GRO94758]=0.10141034251175285
[GRO59710, ELE74482]=0.10106382978723404
[SNA45677, DAI63921]=0.10039481105470953
[GRO36567, GRO38814]=0.09985207100591716
[FRO85978, GRO21487]=0.09976359338061466
[ELE17451, ELE99737]=0.09960422163588391
[SNA45677, FRO35904]=0.09958217270194986
[FRO40251, SNA99873]=0.09937590014402305
[SNA45677, FRO78087]=0.09928151534944481
[ELE26917, GRO81087]=0.09918032786885246
[DAI85309, GRO81087]=0.09918032786885246
[DAI83733, ELE59935]=0.09916094584286804
[ELE92920, ELE17451]=0.09909677419354838
[GRO94758, ELE99737]=0.09894459102902374
[GRO46854, GRO21487]=0.09881796690307329
[FRO31317, SNA93860]=0.09879175550817342
[GRO46854, DAI22177]=0.09834050399508297
[FRO80039, DAI88807]=0.0980243161094225
[GRO94758, GRO71621]=0.09791666666666667
[DAI88807, FRO53271]=0.09788732394366197
[DAI31081, DAI43223]=0.09754163362410785
[GRO30386, GRO44993]=0.0972338642078793
[ELE74009, SNA93860]=0.09665955934612651
